103.8.230.0,103.8.230.255
103.20.58.0,103.20.58.255
103.53.114.0,103.53.114.255
103.43.64.0,103.43.64.255
103.55.35.0,103.55.35.255
192.100.2.0,192.100.2.255
192.104.15.0,192.104.15.255
192.132.15.0,192.132.15.255
192.5.90.0,192.5.90.255
192.132.247.0,192.132.247.255
192.245.249.0,192.245.249.255
192.245.250.0,192.245.250.255
192.245.251.0,192.245.251.255
202.20.82.0,202.20.82.255
202.20.83.0,202.20.83.255
202.20.86.0,202.20.86.255
202.20.99.0,202.20.99.255
202.20.119.0,202.20.119.255
192.195.39.0,192.195.39.255
192.195.40.0,192.195.40.255
202.6.95.0,202.6.95.255
192.203.138.0,192.203.138.255
192.203.139.0,192.203.139.255
192.203.144.0,192.203.144.255
192.203.145.0,192.203.145.255
192.203.146.0,192.203.146.255
202.14.103.0,202.14.103.255
202.14.165.0,202.14.165.255
202.47.143.0,202.47.143.255
203.17.226.0,203.17.226.255
202.189.128.0,202.189.128.255
203.82.219.0,203.82.219.255
203.77.176.0,203.77.176.255
203.223.177.0,203.223.177.255
202.167.214.0,202.167.214.255
202.167.215.0,202.167.215.255
221.133.54.0,221.133.54.255
221.133.55.0,221.133.55.255
103.90.209.0,103.90.209.255
103.114.62.0,103.114.62.255
110.92.22.0,110.92.22.255
110.92.23.0,110.92.23.255
49.143.186.0,49.143.186.255
49.143.187.0,49.143.187.255
103.142.20.0,103.142.20.255
103.141.170.0,103.141.170.255
202.20.84.0,202.20.84.255
202.20.85.0,202.20.85.255
202.30.124.0,202.30.124.255
202.30.125.0,202.30.125.255
202.30.34.0,202.30.34.255
202.30.35.0,202.30.35.255
202.30.38.0,202.30.38.255
202.30.39.0,202.30.39.255
202.30.44.0,202.30.44.255
202.30.45.0,202.30.45.255
202.30.48.0,202.30.48.255
202.30.49.0,202.30.49.255
202.30.54.0,202.30.54.255
202.30.55.0,202.30.55.255
202.30.58.0,202.30.58.255
202.30.59.0,202.30.59.255
202.31.152.0,202.31.152.255
202.31.153.0,202.31.153.255
202.31.154.0,202.31.154.255
202.31.155.0,202.31.155.255
202.31.180.0,202.31.180.255
202.31.181.0,202.31.181.255
202.31.182.0,202.31.182.255
202.31.183.0,202.31.183.255
203.226.252.0,203.226.252.255
203.226.253.0,203.226.253.255
203.233.128.0,203.233.128.255
203.233.129.0,203.233.129.255
203.233.156.0,203.233.156.255
203.233.157.0,203.233.157.255
203.233.164.0,203.233.164.255
203.233.165.0,203.233.165.255
203.240.190.0,203.240.190.255
203.240.191.0,203.240.191.255
203.241.166.0,203.241.166.255
203.241.167.0,203.241.167.255
203.241.174.0,203.241.174.255
203.241.175.0,203.241.175.255
